replicas,load_pct,aggregate_bw_gbps,latency_cycles,requested_request_gbps_per_node,request_gbps,response_gbps,label,log_path
1,20,59.761849999999995,1294.8200000000002,6.01,48.10366,11.6582,iter04,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter04_bw06p01.out
1,20,60.67467,4025.10625,7.07,48.83622,11.83845,right,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_right_bw07p07.out
1,20,60.7016,4029.3050000000003,6.22,48.85763,11.84399,iter03,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter03_bw06p22.out
1,30,3.384601,804.8430000000001,0.3,2.408861,0.975741,base,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_base_bw00p30.out
1,30,34.573570000000004,899.0467499999999,3.07,24.58102,9.99256,left,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_left_bw03p07.out
1,30,57.04507,947.623375,5.07,40.55069,16.49437,iter00,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter00_bw05p07.out
1,30,62.66778,944.9592499999999,5.57,44.54454,18.12323,iter01,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter01_bw05p57.out
1,30,65.88928,955.7235,5.85,46.83921,19.05008,iter05,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter05_bw05p85.out
1,30,66.22596,961.5178749999999,5.88,47.07603,19.14995,iter07,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter07_bw05p88.out
1,30,66.79575,976.7069999999999,5.94,47.48533,19.31042,iter11,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter11_bw05p94.out
1,30,66.85481999999999,979.71475,5.94,47.52312,19.3317,iter13,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter13_bw05p94.out
1,30,66.87274,982.972625,5.94,47.536410000000004,19.33634,iter02,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter02_bw05p94.out
1,30,66.974,998.9688749999998,5.95,47.60861,19.36539,iter08,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter08_bw05p95.out
1,30,66.99342,1001.16725,5.95,47.62364,19.36976,iter14,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter14_bw05p95.out
1,30,67.03454,1020.7937499999999,5.96,47.651830000000004,19.38271,iter12,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter12_bw05p96.out
1,30,67.11443,1060.90125,5.96,47.70765,19.40678,iter10,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter10_bw05p96.out
1,30,67.22336,1155.48625,5.97,47.78617,19.437179999999998,iter06,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter06_bw05p97.out
1,30,67.53269,1266.61625,6.0,48.00544,19.527260000000002,iter09,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter09_bw06p00.out
